"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US13057090912","Census Tract 909.12; Cherokee County; Georgia","106","74","0","14","12","20","14","26","23","29","0","14","0","14","38","58","0","14","19","32","0","14",
"1400000US13057091001","Census Tract 910.01; Cherokee County; Georgia","1540","311","26","36","85","76","74","54","207","139","169","119","276","244","0","20","196","139","507","221","0","20",
"1400000US13057091006","Census Tract 910.06; Cherokee County; Georgia","283","107","9","15","0","14","94","76","0","14","0","14","27","40","21","31","16","20","116","84","0","14",
"1400000US13057091007","Census Tract 910.07; Cherokee County; Georgia","283","250","0","20","19","31","10","16","202","248","0","20","0","20","0","20","17","27","21","33","14","22",
"1400000US13057091009","Census Tract 910.09; Cherokee County; Georgia","738","196","0","20","48","43","101","82","167","113","106","112","17","30","96","68","111","113","81","67","11","19",
"1400000US13057091010","Census Tract 910.10; Cherokee County; Georgia","56","51","0","14","0","14","17","27","32","46","0","14","0","14","0","14","0","14","7","12","0","14",
"1400000US13057091011","Census Tract 910.11; Cherokee County; Georgia","757","413","0","14","21","35","129","105","0","14","85","120","51","64","78","115","35","48","358","372","0","14",
"1400000US13057091012","Census Tract 910.12; Cherokee County; Georgia","655","144","0","14","19","37","110","107","13","22","197","135","88","78","32","38","25","32","102","107","69","82",
"1400000US13057091013","Census Tract 910.13; Cherokee County; Georgia","1286","404","45","45","61","73","282","291","34","38","179","121","108","133","30","40","173","186","329","212","45","70",
"1400000US13057091014","Census Tract 910.14; Cherokee County; Georgia","625","246","0","14","17","29","27","45","83","91","117","117","62","56","112","175","85","75","122","86","0","14",
"1400000US13057091101","Census Tract 911.01; Cherokee County; Georgia","262","127","15","24","0","20","0","20","30","31","61","72","0","20","31","38","7","14","0","20","118","112",
"1400000US13057091104","Census Tract 911.04; Cherokee County; Georgia","81","69","0","20","0","20","19","32","0","20","0","20","18","29","0","20","0","20","19","32","25","41",
"1400000US13057091105","Census Tract 911.05; Cherokee County; Georgia","550","248","0","20","0","20","11","18","110","70","56","64","154","87","13","25","95","123","111","142","0","20",
"1400000US13057091106","Census Tract 911.06; Cherokee County; Georgia","366","216","3","27","0","20","44","39","100","92","14","24","96","91","109","166","0","20","0","20","0","20",
"1400000US13057091107","Census Tract 911.07; Cherokee County; Georgia","281","209","0","14","123","176","14","21","13","20","0","14","13","20","35","60","13","22","70","72","0","14",
"1400000US13057091108","Census Tract 911.08; Cherokee County; Georgia","95","66","6","9","0","14","26","39","7","11","0","14","8","16","25","39","0","14","0","14","23","35",
"1400000US13063040202","Census Tract 402.02; Clayton County; Georgia","580","97","0","14","112","88","34","35","33","53","45","64","0","14","38","49","26","28","277","108","15","26",
"1400000US13063040203","Census Tract 402.03; Clayton County; Georgia","1070","207","0","14","38","61","122","79","111","101","131","94","93","105","78","88","259","129","199","134","39","61",
"1400000US13063040204","Census Tract 402.04; Clayton County; Georgia","1432","253","9","15","132","123","102","80","140","125","114","95","170","101","229","159","78","84","458","136","0","14",
"1400000US13063040302","Census Tract 403.02; Clayton County; Georgia","1417","245","53","53","33","52","201","126","177","142","97","79","66","51","215","174","136","93","346","187","93","97",
"1400000US13063040306","Census Tract 403.06; Clayton County; Georgia","1774","255","55","83","40","45","142","117","161","127","318","173","220","205","427","278","131","113","261","158","19","29",
"1400000US13063040307","Census Tract 403.07; Clayton County; Georgia","341","152","35","50","82","86","35","53","24","35","85","80","57","55","0","14","0","14","22","32","1","5",
"1400000US13063040308","Census Tract 403.08; Clayton County; Georgia","938","229","9","16","17","21","69","80","71","90","99","88","97","90","34","37","163","113","301","182","78","77",
"1400000US13063040309","Census Tract 403.09; Clayton County; Georgia","574","174","0","14","148","132","46","59","0","14","66","66","0","14","54","71","36","41","155","113","69","82",
"1400000US13063040310","Census Tract 403.10; Clayton County; Georgia","694","190","15","20","25","57","0","14","196","148","110","104","117","148","0","14","0","14","231","160","0","14",
"1400000US13063040407","Census Tract 404.07; Clayton County; Georgia","554","221","20","17","103","74","35","48","55","61","67","76","8","9","0","14","17","23","128","77","121","136",
"1400000US13063040409","Census Tract 404.09; Clayton County; Georgia","719","190","58","95","78","76","0","20","37","58","96","105","0","20","111","104","126","108","213","175","0","20",
"1400000US13063040410","Census Tract 404.10; Clayton County; Georgia","1051","440","113","141","95","104","0","20","42","51","81","83","386","424","57","83","119","118","158","106","0","20",
"1400000US13063040414","Census Tract 404.14; Clayton County; Georgia","386","106","0","14","127","86","47","43","46","47","34","41","25","31","26","35","0","14","71","52","10","18",
"1400000US13063040416","Census Tract 404.16; Clayton County; Georgia","547","147","0","14","57","86","140","129","216","167","0","14","0","14","28","48","32","49","34","41","40","52",
"1400000US13063040417","Census Tract 404.17; Clayton County; Georgia","1804","345","0","20","152","151","7","13","253","183","133","129","354","249","259","213","53","56","542","292","51","88",
"1400000US13063040418","Census Tract 404.18; Clayton County; Georgia","177","113","0","14","71","68","0","14","0","14","30","50","0","14","0","14","0","14","76","95","0","14",
"1400000US13063040419","Census Tract 404.19; Clayton County; Georgia","1638","335","14","24","65","79","102","117","135","117","118","106","232","186","50","79","92","72","760","335","70","72",
"1400000US13063040420","Census Tract 404.20; Clayton County; Georgia","595","236","0","20","88","113","80","90","252","200","0","20","32","50","0","20","16","31","0","20","127","161",
"1400000US13063040421","Census Tract 404.21; Clayton County; Georgia","379","187","0","20","112","125","23","40","65","97","0","20","0","20","29","47","0","20","117","114","33","43",
