"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US13057090806","Census Tract 908.06; Cherokee County; Georgia","4966","579","4809","597","4139","649","166","118","0","14","307","230","0","14","126","146","71","52","10","17","61","49","157","151","10","16","0","14","0","14","0","14","0","14","107","131","40","71","40","71","0","14",
"1400000US13057090807","Census Tract 908.07; Cherokee County; Georgia","8096","954","7777","1003","7192","1077","324","203","0","20","51","56","0","20","34","44","176","156","0","20","176","156","319","328","41","69","0","20","0","20","0","20","0","20","41","45","237","316","237","316","0","20",
"1400000US13057090808","Census Tract 908.08; Cherokee County; Georgia","7126","1480","6741","1479","6179","1497","233","198","0","20","62","91","0","20","60","89","207","173","162","167","45","45","385","176","122","161","0","20","0","20","0","20","0","20","0","20","263","140","234","138","29","56",
"1400000US13057090809","Census Tract 908.09; Cherokee County; Georgia","4129","377","3774","457","3410","399","31","53","0","14","175","197","0","14","34","53","124","113","89","98","35","49","355","330","6","10","0","14","0","14","0","14","0","14","304","332","45","57","45","57","0","14",
"1400000US13057090810","Census Tract 908.10; Cherokee County; Georgia","4836","700","4251","659","3911","624","118","201","0","14","65","65","0","14","39","65","118","81","29","33","89","68","585","408","124","147","0","14","0","14","0","14","0","14","73","144","388","358","388","358","0","14",
"1400000US13057090905","Census Tract 909.05; Cherokee County; Georgia","4713","650","4402","580","3573","542","349","308","0","14","237","174","23","36","0","14","220","148","84","92","136","124","311","245","62","69","0","14","0","14","0","14","0","14","15","24","234","235","104","121","130","194",
"1400000US13057090906","Census Tract 909.06; Cherokee County; Georgia","6615","1048","6492","1038","5223","928","696","361","0","20","474","289","0","20","0","20","99","117","0","20","99","117","123","159","32","79","0","20","0","20","0","20","0","20","17","27","74","115","74","115","0","20",
"1400000US13057090907","Census Tract 909.07; Cherokee County; Georgia","4110","444","3480","441","3247","466","47","78","0","14","146","167","0","14","0","14","40","49","19","25","21","46","630","169","203","230","0","14","24","33","0","14","0","14","305","325","98","96","98","96","0","14",
"1400000US13057090908","Census Tract 909.08; Cherokee County; Georgia","6405","949","5787","901","4518","923","445","272","0","20","167","149","0","20","256","378","401","428","0","20","401","428","618","344","304","289","0","20","0","20","0","20","0","20","0","20","314","254","278","247","36","61",
"1400000US13057090909","Census Tract 909.09; Cherokee County; Georgia","6461","928","5798","843","4226","570","514","286","0","20","389","337","0","20","40","68","629","435","297","294","332","333","663","375","91","79","61","107","19","33","0","20","0","20","223","229","269","184","269","184","0","20",
"1400000US13057090910","Census Tract 909.10; Cherokee County; Georgia","4678","562","4157","520","3434","587","336","231","5","9","169","118","0","14","56","83","157","84","49","45","108","78","521","255","140","148","0","14","49","79","0","14","0","14","115","177","217","126","157","103","60","49",
"1400000US13057090911","Census Tract 909.11; Cherokee County; Georgia","4635","479","4296","485","3517","564","245","191","0","14","344","233","0","14","26","44","164","136","76","91","88","94","339","214","252","186","0","14","0","14","0","14","0","14","0","14","87","88","77","78","10","18",
"1400000US13057090912","Census Tract 909.12; Cherokee County; Georgia","4174","648","3744","716","3405","742","35","45","0","14","93","134","0","14","79","84","132","170","8","13","124","171","430","250","259","241","0","14","0","14","0","14","0","14","100","115","71","97","71","97","0","14",
"1400000US13057091001","Census Tract 910.01; Cherokee County; Georgia","5800","711","5128","632","3718","533","808","336","0","20","219","167","0","20","64","96","319","255","72","92","247","243","672","378","330","276","0","20","0","20","0","20","0","20","17","36","325","274","325","274","0","20",
